VA Class,VA Category
AA000,INTRODUCTION
AD000,"ANTIDOTES,DETERRENTS AND POISON CONTROL"
AD100,ALCOHOL DETERRENTS
AD200,CYANIDE ANTIDOTES
AD300,HEAVY METAL ANTAGONISTS
AD400,"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS"
AD900,"ANTIDOTES/DETERRENTS,OTHER"
AH000,ANTIHISTAMINES
AH100,"ANTIHISTAMINES,PHENOTHIAZINE"
AH102,"ANTIHISTAMINES,ETHANOLAMINE"
AH103,"ANTIHISTAMINES,ETHYLENEDIAMINE"
AH104,"ANTIHISTAMINES,ALKYLAMINE"
AH105,"ANTIHISTAMINES,PIPERAZINE"
AH106,"ANTIHISTAMINES,BUTYROPHENONE"
AH107,"ANTIHISTAMINES,PIPERIDINE"
AH109,"ANTIHISTAMINES,OTHER"
AM000,ANTIMICROBIALS
AM110,PENICILLIN-G RELATED PENICILLINS
AM111,"PENICILLINS,AMINO DERIVATIVES"
AM111,(INACTIVE) PENICILLIN G-RELATED PENICILLINS
AM112,PENICILLINASE-RESISTANT PENICILLINS
AM112,"(INACTIVE) PENICILLINS, AMINO DERIVATIVES"
AM113,EXTENDED SPECTRUM PENICILLINS
AM114,(INACTIVE) PENICILLINS
AM114,PENICILLINS AND BETA-LACTAM ANTIMICROBIALS
AM114,(INACTIVE) BETA-LACTAM ANTIMICROBIALS
AM115,CEPHALOSPORIN 1ST GENERATION
AM116,CEPHALOSPORIN 2ND GENERATION
AM117,CEPHALOSPORIN 3RD GENERATION
AM118,CEPHALOSPORIN 4TH GENERATION
AM119,"BETA-LACTAMS ANTIMICROBIALS,OTHER"
AM150,CHLORAMPHENICOL
AM200,ERYTHROMYCINS/MACROLIDES
AM250,TETRACYCLINES
AM300,AMINOGLYCOSIDES
AM350,LINCOMYCINS
AM400,QUINOLONES
AM500,ANTITUBERCULARS
AM550,METHENAMINE SALTS ANTIMICROBIALS
AM600,NITROFURANS ANTIMICROBIALS
AM650,SULFONAMIDE/RELATED ANTIMICROBIALS
AM700,ANTIFUNGALS
AM800,ANTIVIRALS
AM900,"ANTI-INFECTIVES,OTHER"
AN000,ANTINEOPLASTICS
AN100,"ANTINEOPLASTICS,ALKYLATING AGENTS"
AN200,ANTINEOPLASTIC ANTIBIOTICS
AN300,"ANTINEOPLASTICS,ANTIMETABOLITES"
AN400,ANTINEOPLASTIC ADJUVANTS
AN500,ANTINEOPLASTIC HORMONES
AN600,ANTINEOPLASTIC RADIOPHARMACEUTICALS
AN700,PROTECTIVE AGENTS
AN900,"ANTINEOPLASTIC,OTHER"
AP000,ANTIPARASITICS
AP100,ANTIPROTOZOALS
AP101,ANTIMALARIALS
AP109,"ANTIPROTOZOALS,OTHER"
AP200,ANTHELMINTICS
AP300,PEDICULICIDES
AP900,"ANTIPARASITICS,OTHER"
AS000,ANTISEPTICS/DISINFECTANTS
AU000,AUTONOMIC MEDICATIONS
AU100,SYMPATHOMIMETICS (ADRENERGICS)
AU200,SYMPATHOLYTICS
AU300,PARASYMPATHOMIMETICS (CHOLINERGICS)
AU350,PARASYMPATHOLYTICS
AU900,"AUTONOMIC AGENTS,OTHER"
BL000,BLOOD PRODUCTS/MODIFIERS/VOLUME EXPANDERS
BL110,ANTICOAGULANTS
BL115,THROMBOLYTICS
BL116,ANTIHEMORRHAGICS
BL117,PLATELET AGGREGATION INHIBITORS
BL118,HEPARIN ANTAGONISTS
BL400,BLOOD FORMATION PRODUCTS
BL500,BLOOD DERIVATIVES
BL800,VOLUME EXPANDERS
BL900,"BLOOD PRODUCTS,OTHER"
CN000,CENTRAL NERVOUS SYSTEM MEDICATIONS
CN100,ANALGESICS
CN101,OPIOID ANALGESICS
CN102,OPIOID ANTAGONIST ANALGESICS
CN103,NON-OPIOID ANALGESICS
CN104,NON-STEROIDAL ANTI-INFLAMMATORY ANALGESICS
CN105,ANTIMIGRAINE AGENTS
CN200,ANESTHETICS
CN201,"ANESTHETICS,INHALATION"
CN202,BARBITURIC ACID DERIVATIVE ANESTHETICS
CN203,"GENERAL ANESTHETICS,OTHER"
CN204,"LOCAL ANESTHETICS,INJECTION"
CN205,ANESTHETIC ADJUNCTS
CN300,SEDATIVES/HYPONTICS
CN301,BARBITURIC ACID DERIVATIVE SEDATIVES/HYPNOTICS
CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
CN309,"SEDATIVES/HYPNOTICS,OTHER"
CN400,ANTICONVULSANTS
CN500,ANTIPARKINSON AGENTS
CN550,ANTIVERTIGO AGENTS
CN600,ANTIDEPRESSANTS
CN601,TRICYCLIC ANTIDEPRESSANTS
CN602,MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS
CN609,"ANTIDEPRESSANTS,OTHER"
CN700,ANTIPSYCHOTICS
CN701,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
CN709,"ANTIPSYCHOTICS,OTHER"
CN750,LITHIUM SALTS
CN800,CNS STIMULANTS
CN801,AMPHETAMINES
CN802,AMPHETAMINE LIKE STIMULANTS
CN809,"CNS STIMULANTS,OTHER"
CN850,ANTIPYRETICS
CN900,"CNS MEDICATIONS,OTHER"
CV000,CARDIOVASCULAR MEDICATIONS
CV050,DIGITALIS GLYCOSIDES
CV100,BETA BLOCKERS/RELATED
CV150,ALPHA BLOCKERS/RELATED
CV200,CALCIUM CHANNEL BLOCKERS
CV250,ANTIANGINALS
CV300,ANTIARRHYTHMICS
CV350,ANTILIPEMIC AGENTS
CV400,ANTIHYPERTENSIVE COMBINATIONS
CV490,"ANTIHYPERTENSIVES,OTHER"
CV500,PERIPHERAL VASODILATORS
CV600,SCLEROSING AGENTS
CV700,DIURETICS
CV701,THIAZIDES/RELATED DIURETICS
CV702,LOOP DIURETICS
CV703,CARBONIC ANHYDRASE INHIBITOR DIURETICS
CV704,POTASSIUM SPARING/COMBINATIONS DIURETICS
CV709,"DIURETICS,OTHER"
CV800,ACE INHIBITORS
CV805,ANGIOTENSIN II INHIBITOR
CV806,DIRECT RENIN INHIBITOR
CV900,"CARDIOVASCULAR AGENTS,OTHER"
DE000,DERMATOLOGICAL AGENTS
DE100,"ANTI-INFECTIVE,TOPICAL"
DE101,"ANTIBACTERIAL,TOPICAL"
DE102,"ANTIFUNGAL,TOPICAL"
DE103,"ANTIVIRAL,TOPICAL"
DE109,"ANTI-INFECTIVE,TOPICAL,OTHER"
DE200,"ANTI-INFLAMMATORY,TOPICAL"
DE250,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL"
DE300,"SUN PROTECTANTS/SCREENS,TOPICAL"
DE350,EMOLLIENTS
DE400,SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
DE450,"DEODORANTS/ANTIPERSPIRANTS,TOPICAL"
DE500,"KERATOLYTICS/CAUSTICS,TOPICAL"
DE600,"ANTINEOPLASTIC,TOPICAL"
DE650,"ANALGESICS,TOPICAL"
DE700,"LOCAL ANESTHETICS,TOPICAL"
DE750,ANTIACNE AGENTS
DE751,"ANTIACNE AGENTS,SYSTEMIC"
DE752,"ANTIACNE AGENTS,TOPICAL"
DE800,ANTIPSORIATIC
DE810,"ANTIPSORIATICS,SYSTEMIC"
DE820,"ANTIPSORIATICS,TOPICAL"
DE890,"DERMATOLOGICALS,SYSTEMIC,OTHER"
DE900,"DERMATOLOGICALS,TOPICAL OTHER"
DX000,DIAGNOSTIC AGENTS
DX100,RADIOLOGICAL/CONTRAST MEDIA
DX101,NON-IONIC CONTRAST MEDIA
DX102,IONIC CONTRAST MEDIA
DX109,"CONTRAST MEDIA, OTHER"
DX200,"RADIOPHARMACEUTICALS,DIAGNOSTIC"
DX201,IMAGING AGENTS (IN VIVO) RADIOPHARMACEUTICALS
DX202,NON-IMAGING AGENTS RADIOPHARMACEUTICALS
DX300,DIAGNOSTIC ANTIGENS
DX900,"DIAGNOSTICS,OTHER"
GA000,GASTROINTESTINAL MEDICATIONS
GA100,ANTACIDS
GA101,ALUMINUM CONTAINING ANTACIDS
GA102,ALUMINUM/CALCIUM/MAGNESIUM CONTAINING ANTACIDS
GA103,ALUMINUM/MAGNESIUM CONTAINING ANTACIDS
GA104,ALUMINUM/MAGNESIUM/SODIUM BICARBONATE CONTAINING ANTACIDS
GA105,CALCIUM CONTAINING ANTACIDS
GA106,CALCIUM/MAGNESIUM CONTAINING ANTACIDS
GA107,MAGALDRATE CONTAINING ANTACIDS
GA108,MAGNESIUM CONTAINING ANTACIDS
GA109,MAGNESIUM/SODIUM BICARBONATE CONTAINING ANTACIDS
GA110,SODIUM BICARBONATE CONTAINING ANTACIDS
GA199,"ANTACIDS,OTHER"
GA200,LAXATIVES
GA201,BULK-FORMING LAXATIVES
GA202,HYPEROSMOTIC LAXATIVES
GA203,LUBRICANT LAXATIVES
GA204,STIMULANT LAXATIVES
GA205,STOOL SOFTENER
GA206,CARBON DIOXIDE-RELEASING LAXATIVES
GA208,ANTIDIARRHEAL AGENTS
GA209,"LAXATIVES,OTHER"
GA300,ANTIULCER AGENTS
GA301,HISTAMINE ANTAGONISTS
GA302,"PROTECTANTS,ULCER"
GA303,H. PYLORI AGENTS
GA309,"ANTIULCER AGENTS,OTHER"
GA400,TUMOR NECROSIS FACTOR BLOCKER
GA500,DIGESTANTS
GA600,EMETICS
GA605,ANTIEMETICS
GA750,APPETITE SUPPRESSANTS
GA751,CENTRALLY-ACTING APPETITE SUPPRESSANTS
GA752,"BULKING AGENT,APPETITE SUPPRESSANTS"
GA759,"APPETITE SUPPRESSANTS,OTHER"
GA800,ANTIMUSCARINICS/ANTISPASMODICS
GA801,ANTIMUSCARINICS/ANTISPASMODICS
GA802,ANTIMUSCARINIC/ANTIPASMODIC COMBINATIONS
GA900,"GASTRIC MEDICATIONS,OTHER"
GU000,GENITOURINARY MEDICATIONS
GU100,"ANALGESICS,URINARY"
GU200,"ANTISPASMODICS,URINARY"
GU201,"ANTISPASMODICS,URINARY"
GU209,"ANTISPASMODICS,URINARY,OTHER"
GU300,"ANTI-INFECTIVES,VAGINAL"
GU400,"CONTRACEPTIVES,VAGINAL/TOPICAL"
GU500,"ESTROGENS,VAGINAL"
GU600,OXYTOCICS
GU900,"GENITO-URINARY AGENTS,OTHER"
HA000,HERBS/ALTERNATIVE THERAPIES
HS000,HORMONES/SYNTHETICS/MODIFIERS
HS050,ADRENAL CORTICOSTERIODS
HS051,GLUCOCORTICOIDS
HS052,MINERALOCORTICOIDS
HS100,ANDROGENS/ANABOLICS
HS200,"CONTRACEPTIVES,SYSTEMIC"
HS300,ESTROGENS
HS400,GONADOTROPINS
HS500,BLOOD GLUCOSE REGULATION AGENTS
HS501,INSULIN
HS502,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
HS503,ANTIHYPOGLYCEMICS
HS509,"HYPOGLYCEMIC AGENTS,OTHER"
HS600,PARATHYROID
HS700,PITUITARY
HS701,ANTERIOR PITUITARY
HS702,POSTERIOR PITUITARY
HS800,PROGESTINS
HS850,THYROID MODIFIERS
HS851,THYROID SUPPLEMENTS
HS852,ANTITHYROID AGENTS
HS875,PROSTAGLANDINS
HS900,"HORMONES/SYNTHETICS/MODIFIERS,OTHER"
IM000,IMMUNOLOGICAL AGENTS
IM100,VACCINES
IM105,TOXOIDS
IM109,"VACCINES/TOXOIDS, OTHER"
IM300,ANTIVENINS/ANTITOXINS
IM400,IMMUNE SERUMS
IM500,IMMUNOGLOBULINS
IM600,IMMUNE SUPPRESSANTS
IM700,IMMUNE STIMULANTS
IM900,"IMMUNOLOGICAL AGENTS,OTHER"
IN000,INVESTIGATIONAL AGENTS
IN001,"INVESTIGATIONAL DIAGNOSTIC AGENTS,OTHER"
IN002,"INVESTIGATIONAL DIAGNOSTIC AGENTS,SKIN TESTING"
IN003,"INVESTIGATIONAL DIAGNOSTIC AGENTS,GLUCOSE TESTING"
IN004,INVESTIGATIONAL PHARMACEUTICAL AIDS/REAGENTS
IN005,INVESTIGATIONAL PROSTHETICS/SUPPLIES/DEVICES
IN100,INVESTIGATIONAL ANTI-BACTERIAL DRUGS
IN110,INVESTIGATIONAL ANTI-TUBERCULAR DRUGS
IN120,INVESTIGATIONAL ANTI-FUNGAL DRUGS
IN130,INVESTIGATIONAL ANTI-VIRAL DRUGS HEPATITIS B
IN140,INVESTIGATIONAL ANTI-VIRAL DRUGS HEPATITIS C
IN150,INVESTIGATIONAL ANTI-VIRAL DRUGS HIV
IN160,"INVESTIGATIONAL ANTI-VIRAL DRUGS,OTHER"
IN170,"INVESTIGATIONAL ANTI-INFECTIVE DRUGS,OTHER"
IN180,INVESTIGATIONAL VACCINES
IN200,"INVEST ANTI-NEOPLASTIC BONE,CONNECTIVE TISSUE,SKIN,BREAST"
IN210,INVESTIGATIONAL ANTI-NEOPLASTIC DRUGS CNS
IN220,"INVEST ANTI-NEOPLASTIC DIGESTIVE ORGANS,PERITONEUM"
IN230,"INVESTIGATIONAL ANTI-NEOPLASTIC DRUGS, GENE THERAPY"
IN240,INVESTIGATIONAL ANTI-NEOPLASTIC DRUGS GENITOURINARY ORGANS
IN250,INVESTIGATIONAL ANTI-NEOPLASTIC DRUGS INTRATHORACIC ORGANS
IN260,"INVEST ANTI-NEOPLASTIC DRUGS LIP,ORAL CAVITY AND PHARYNX"
IN270,INVEST ANTI-NEOPLASTIC DRUGS LYMPHATIC AND HEMAPOIETIC TISSUE
IN280,"INVESTIGATIONAL ANTI-NEOPLASTIC DRUGS,OTHER"
IN300,INVESTIGATIONAL ANTI-PARASITIC DRUGS
IN350,INVESTIGATIONAL DRUGS FOR ORGAN TRANSPLANTATION
IN400,"INVEST HEMATOLOGIC DEFICIENCIES,HEMATOPOEITIC GROWTH FACTORS"
IN410,INVESTIGATIONAL ANTI-THROMBOTIC DRUGS
IN420,INVESTIGATIONAL THROMBOLYTIC DRUGS
IN430,"INVESTIGATIONAL DRUGS FOR HEMATOLOGIC DEFICIENCIES,OTHER"
IN500,INVESTIGATIONAL ANALGESICS
IN505,"INVESTIGATIONAL DRUGS FOR MUSCULOSKELETAL CONDITIONS,OTHER"
IN510,INVESTIGATIONAL ANESTHETICS
IN515,INVESTIGATIONAL DRUGS FOR ARTHRITIS AND GOUT
IN520,INVESTIGATIONAL ANTI-ANXIETY DRUGS
IN530,INVESTIGATIONAL ANTI-CONVULSANT DRUGS
IN540,INVESTIGATIONAL DRUGS FOR PARKINSON'S DISEASE
IN550,INVESTIGATIONAL ANTI-DEPRESSANTS
IN560,INVESTIGATIONAL DRUGS FOR CENTRAL AND PERIPHERAL NEUROPATHY
IN570,INVEST DRUGS FOR PSYCHOSIS AND POST TRAMATIC STRESS DISORDER
IN580,INVESTIGATIONAL DRUGS FOR MANIA AND BIPOLAR DISORDERS
IN585,INVESTIGATIONAL DRUGS FOR DEMENTIA
IN590,"INVESTIGATIONAL DRUGS FOR PSYCHIATRIC DISEASE,OTHER"
